Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v5/addons/search/?app=firefox&q=ATIHaHdTLX&lang=en-US,1,0,25417,25417.0,25417,25417,82.0,0.008408473910912767,0.0,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000
GET,/api/v5/addons/search/?app=firefox&q=AbQobQfaUs&lang=en-US,1,0,25148,25148.0,25148,25148,82.0,0.008408473910912767,0.0,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000
GET,/api/v5/addons/search/?app=firefox&q=AbwXoCiUiv&lang=en-US,1,0,25789,25789.0,25789,25789,82.0,0.008408473910912767,0.0,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000
GET,/api/v5/addons/search/?app=firefox&q=AhuwbvuwAL&lang=en-US,1,0,24246,24246.0,24246,24246,82.0,0.008408473910912767,0.0,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000
GET,/api/v5/addons/search/?app=firefox&q=AkHYaCJouS&lang=en-US,1,0,14174,14174.0,14174,14174,82.0,0.008408473910912767,0.0,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000
GET,/api/v5/addons/search/?app=firefox&q=AkQDvAZzrV&lang=en-US,1,0,25947,25947.0,25947,25947,82.0,0.008408473910912767,0.0,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000
GET,/api/v5/addons/search/?app=firefox&q=AmUMcdeRDy&lang=en-US,1,0,25341,25341.0,25341,25341,82.0,0.008408473910912767,0.0,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000
GET,/api/v5/addons/search/?app=firefox&q=ApmSahvcck&lang=en-US,1,0,22519,22519.0,22519,22519,82.0,0.008408473910912767,0.0,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000
GET,/api/v5/addons/search/?app=firefox&q=AqBKbxFJBI&lang=en-US,1,0,25514,25514.0,25514,25514,82.0,0.008408473910912767,0.0,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000
GET,/api/v5/addons/search/?app=firefox&q=BJkjNliLXa&lang=en-US,1,0,25877,25877.0,25877,25877,82.0,0.008408473910912767,0.0,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000
GET,/api/v5/addons/search/?app=firefox&q=BNnAQaDriq&lang=en-US,1,0,24515,24515.0,24515,24515,82.0,0.008408473910912767,0.0,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000
GET,/api/v5/addons/search/?app=firefox&q=BOvgHbwVqR&lang=en-US,1,0,11345,11345.0,11345,11345,82.0,0.008408473910912767,0.0,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000
GET,/api/v5/addons/search/?app=firefox&q=BUQgCHWfmG&lang=en-US,1,0,25461,25461.0,25461,25461,82.0,0.008408473910912767,0.0,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000
GET,/api/v5/addons/search/?app=firefox&q=BUcJGiryHt&lang=en-US,1,0,24785,24785.0,24785,24785,82.0,0.008408473910912767,0.0,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000
GET,/api/v5/addons/search/?app=firefox&q=CCFyhLWAzS&lang=en-US,1,0,25992,25992.0,25992,25992,82.0,0.008408473910912767,0.0,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000
GET,/api/v5/addons/search/?app=firefox&q=CFCGaeBlAU&lang=en-US,1,0,11570,11570.0,11570,11570,82.0,0.008408473910912767,0.0,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000
GET,/api/v5/addons/search/?app=firefox&q=CHBtOlGXvV&lang=en-US,1,0,25210,25210.0,25210,25210,82.0,0.008408473910912767,0.0,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000
GET,/api/v5/addons/search/?app=firefox&q=CUBZgcPOGs&lang=en-US,1,0,16581,16581.0,16581,16581,82.0,0.008408473910912767,0.0,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000
